Mad Max: Fury Road,97
Inside Out,98
Selma,99
Spotlight,96
Star Wars: Episode VII - The Force Awakens,93
Brooklyn,97
It Follows,97
Shaun the Sheep Movie,99
The Martian,92
Mission: Impossible Rogue Nation,93
Creed,94
Paddington,98
Timbuktu,99
Room,94
45 Years,97
Amy,96
GETT: The Trial of Viviane Amsalem,100
Spy,94
Seymour: An Introduction,100
Phoenix,98
